dcdplugin) detected standard 32-bit DCD file of native endianness
dcdplugin) CHARMM format DCD file (also NAMD 2.1 and later)
main) file: namdOut.dcd
  4257 atoms, 20 frames, size:    1.0MB
atom 1530 [ 0.696053, -2.820030, -15.184987 ]
atom 1531 [ -0.162697, -3.173210, -15.556217 ]
atom 1532 [ 0.516920, -2.347938, -14.321830 ]
atom 1533 [ 1.650025, 6.644526, 38.988338 ]
atom 1534 [ 1.079354, 5.825127, 38.934307 ]
atom 1535 [ 2.561414, 6.395010, 39.315617 ]
atom 1536 [ 7.378499, 1.114034, -16.852478 ]
atom 1537 [ 7.447526, 1.984074, -16.364353 ]
atom 1538 [ 6.494791, 0.689938, -16.654482 ]
atom 1539 [ 6.392773, -8.958418, -40.587585 ]
atom 1540 [ 6.217763, -8.831342, -39.611252 ]
atom 1541 [ 5.750676, -8.403329, -41.116344 ]
atom 1542 [ -5.004340, 5.590499, -34.707329 ]
atom 1543 [ -5.317391, 5.373138, -33.782803 ]
atom 1544 [ -4.955755, 4.751155, -35.248756 ]
atom 1545 [ -10.057997, 6.420307, -25.636843 ]
atom 1546 [ -9.921268, 5.565075, -25.136959 ]
atom 1547 [ -10.921667, 6.837410, -25.353825 ]
atom 1548 [ 9.550878, 10.035880, -41.228291 ]
atom 1549 [ 10.092462, 10.867698, -41.106781 ]
atom 1550 [ 10.024665, 9.418395, -41.856174 ]
atom 1551 [ 1.044250, -5.329997, -35.975571 ]
atom 1552 [ 0.078812, -5.358362, -35.716484 ]
atom 1553 [ 1.573922, -5.904191, -35.351273 ]
atom 1554 [ 11.693012, -4.424329, -29.527746 ]
atom 1555 [ 11.332283, -3.727870, -28.907408 ]
atom 1556 [ 12.029190, -3.986237, -30.361448 ]
atom 1557 [ 10.124352, -14.270781, 40.294132 ]
atom 1558 [ 10.948637, -13.742556, 40.090343 ]
atom 1559 [ 9.321490, -13.680099, 40.213459 ]
atom 1560 [ 8.057999, -10.960167, -37.759838 ]
atom 1561 [ 7.449318, -11.741608, -37.897163 ]
atom 1562 [ 9.002747, -11.281163, -37.693405 ]
atom 1563 [ 8.446671, -4.367230, -12.166487 ]
atom 1564 [ 7.764773, -4.956585, -12.599703 ]
atom 1565 [ 9.038054, -4.918497, -11.577955 ]
atom 1566 [ -10.503229, 13.043217, -25.943071 ]
atom 1567 [ -10.015650, 12.182424, -25.797121 ]
atom 1568 [ -10.197675, 13.458228, -26.800045 ]
atom 1569 [ 1.053764, -7.628665, -23.591034 ]
atom 1570 [ 0.206967, -7.245264, -23.222334 ]
atom 1571 [ 1.464716, -6.977173, -24.228745 ]
atom 1572 [ 12.891201, -4.008744, -17.276611 ]
atom 1573 [ 12.134074, -3.357702, -17.222733 ]
atom 1574 [ 13.256852, -4.171355, -16.360174 ]
atom 1575 [ 12.591606, 12.007663, -35.010147 ]
atom 1576 [ 12.000703, 12.392103, -35.719402 ]
atom 1577 [ 12.926139, 11.112325, -35.304188 ]
atom 1578 [ 8.123064, 2.175425, -8.924769 ]
atom 1579 [ 8.998924, 2.225073, -9.404773 ]
atom 1580 [ 8.017147, 2.979956, -8.340380 ]
atom 1581 [ -1.421044, 5.811243, -35.936592 ]
atom 1582 [ -1.180313, 4.937113, -36.358429 ]
atom 1583 [ -1.371173, 6.537281, -36.622433 ]
atom 1584 [ -8.986558, 8.452225, -37.622616 ]
atom 1585 [ -8.261415, 7.766566, -37.559063 ]
atom 1586 [ -9.478778, 8.498379, -36.753368 ]
atom 1587 [ 0.397067, -9.970158, -21.785099 ]
atom 1588 [ 0.784591, -9.260191, -22.373123 ]
atom 1589 [ 0.568597, -9.739916, -20.827202 ]
atom 1590 [ -6.253491, -14.199453, -25.331940 ]
atom 1591 [ -6.496780, -13.645601, -26.128218 ]
atom 1592 [ -6.401349, -13.667519, -24.498161 ]
atom 1593 [ -4.059056, 2.878203, -25.781286 ]
atom 1594 [ -4.482207, 2.000603, -26.006592 ]
atom 1595 [ -4.154835, 3.052612, -24.801281 ]
atom 1596 [ 0.344680, -1.031663, -32.160736 ]
atom 1597 [ 0.403623, -0.750116, -31.202999 ]
atom 1598 [ -0.205055, -0.369262, -32.669670 ]
atom 1599 [ 1.237196, -9.671104, -18.876131 ]
atom 1600 [ 1.144813, -9.046220, -18.100899 ]
atom 1601 [ 0.598214, -10.432735, -18.768333 ]
atom 1602 [ 3.848167, 8.445902, -10.626264 ]
atom 1603 [ 3.060145, 8.276906, -11.218261 ]
atom 1604 [ 3.551804, 8.454757, -9.671229 ]
atom 1605 [ -13.417854, -1.454728, -39.551754 ]
atom 1606 [ -12.458826, -1.447569, -39.268532 ]
atom 1607 [ -13.868549, -2.267243, -39.182030 ]
atom 1608 [ -4.214585, -2.865559, -21.126215 ]
atom 1609 [ -5.030777, -2.384326, -21.445974 ]
atom 1610 [ -4.298923, -3.839905, -21.334871 ]
atom 1611 [ -0.876814, -5.472952, -27.008547 ]
atom 1612 [ -0.652996, -6.423178, -26.791805 ]
atom 1613 [ -0.148555, -4.874472, -26.674688 ]
atom 1614 [ -12.134352, -13.584749, 40.153786 ]
atom 1615 [ -12.811733, -14.303097, 40.312321 ]
atom 1616 [ -12.579241, -12.690483, 40.202374 ]
atom 1617 [ -9.169291, -6.205350, -40.357269 ]
atom 1618 [ -9.802148, -6.864814, -40.762978 ]
atom 1619 [ -9.623324, -5.726372, -39.605984 ]
atom 1620 [ -6.573740, 0.642708, -18.279001 ]
atom 1621 [ -6.905097, 1.550052, -18.020296 ]
atom 1622 [ -5.583040, 0.600273, -18.149723 ]
atom 1623 [ -3.251804, 10.330737, -26.952301 ]
atom 1624 [ -3.189132, 9.375765, -26.662300 ]
atom 1625 [ -3.822224, 10.838423, -26.306641 ]
atom 1626 [ -7.128782, -14.615863, -20.548172 ]
atom 1627 [ -7.047499, -13.675041, -20.877180 ]
atom 1628 [ -8.094454, -14.842069, -20.420456 ]
atom 1629 [ 1.702295, 13.457434, 40.070797 ]
atom 1630 [ 1.244225, 14.232707, 40.505680 ]
atom 1631 [ 1.412945, 12.608470, 40.512993 ]
atom 1632 [ 3.935376, 10.265765, -34.319511 ]
atom 1633 [ 3.746748, 9.710763, -33.509331 ]
atom 1634 [ 3.205403, 10.938533, -34.440025 ]
atom 1635 [ -13.164170, -14.786815, -20.448782 ]
atom 1636 [ -14.147298, -14.897268, -20.302973 ]
atom 1637 [ -12.945078, -13.813750, -20.520512 ]
atom 1638 [ -12.401972, 14.080227, -33.596878 ]
atom 1639 [ -12.493296, 13.174988, -33.181904 ]
atom 1640 [ -11.825039, 14.016948, -34.411213 ]
atom 1641 [ -1.624203, 5.322448, -14.493659 ]
atom 1642 [ -2.125426, 5.750975, -13.741901 ]
atom 1643 [ -1.369917, 4.390236, -14.236132 ]
atom 1644 [ 1.056356, -11.288440, -8.091422 ]
atom 1645 [ 1.554456, -12.154150, -8.042000 ]
atom 1646 [ 1.577537, -10.634863, -8.640245 ]
atom 1647 [ 13.130413, 7.048176, -24.710836 ]
atom 1648 [ 13.283873, 7.824271, -24.099176 ]
atom 1649 [ 12.218328, 6.671468, -24.548985 ]
atom 1650 [ -2.984582, -0.724996, -10.395862 ]
atom 1651 [ -2.681698, -0.308069, -11.252852 ]
atom 1652 [ -3.983608, -0.766162, -10.380014 ]
atom 1653 [ -11.723224, 14.012612, -15.266176 ]
atom 1654 [ -12.514661, 14.344664, -15.779372 ]
atom 1655 [ -11.944391, 13.133224, -14.844559 ]
atom 1656 [ 9.098184, 12.056477, -14.325007 ]
atom 1657 [ 9.789660, 12.012548, -13.603945 ]
atom 1658 [ 9.135167, 11.221231, -14.873640 ]
atom 1659 [ -2.138796, -1.075592, -21.621870 ]
atom 1660 [ -2.161734, -0.366855, -22.326971 ]
atom 1661 [ -2.990520, -1.598956, -21.647482 ]
atom 1662 [ -13.293697, 11.208768, -17.396366 ]
atom 1663 [ -13.595000, 10.256624, -17.345007 ]
atom 1664 [ -13.107508, 11.448541, -18.349173 ]
atom 1665 [ 11.203526, 6.676153, -41.534679 ]
atom 1666 [ 10.816970, 6.168057, -42.304363 ]
atom 1667 [ 10.989264, 6.201769, -40.680836 ]
atom 1668 [ -0.495325, -14.256966, -41.870338 ]
atom 1669 [ -0.913344, -14.713682, -42.655624 ]
atom 1670 [ -0.998685, -13.417339, -41.666241 ]
atom 1671 [ -9.083069, 1.328270, -35.110950 ]
atom 1672 [ -8.348862, 1.031274, -35.721466 ]
atom 1673 [ -8.838776, 2.205646, -34.697994 ]
atom 1674 [ -12.449686, 2.387154, -33.824596 ]
atom 1675 [ -12.427704, 1.636539, -33.164223 ]
atom 1676 [ -12.079601, 3.214246, -33.401566 ]
atom 1677 [ 12.302340, 13.884200, 33.197323 ]
atom 1678 [ 11.694659, 13.131499, 32.944012 ]
atom 1679 [ 13.194755, 13.517902, 33.460804 ]
atom 1680 [ -0.109556, -13.224179, -27.255676 ]
atom 1681 [ 0.034009, -12.923294, -26.312883 ]
atom 1682 [ -0.927695, -12.783648, -27.625244 ]
atom 1683 [ -9.459918, 0.158404, -39.263447 ]
atom 1684 [ -10.290805, 0.370372, -38.748962 ]
atom 1685 [ -9.449447, -0.814717, -39.493507 ]
atom 1686 [ -13.284948, -5.839674, -39.781036 ]
atom 1687 [ -13.560686, -5.005608, -40.258842 ]
atom 1688 [ -12.649256, -6.357256, -40.353752 ]
atom 1689 [ 5.012160, -9.760608, 39.774624 ]
atom 1690 [ 5.642784, -9.068385, 40.125538 ]
atom 1691 [ 5.436715, -10.239348, 39.006145 ]
atom 1692 [ -11.080825, 11.731273, 41.398647 ]
atom 1693 [ -11.600836, 10.883610, 41.503796 ]
atom 1694 [ -11.594641, 12.489504, 41.799992 ]
atom 1695 [ -4.897662, 7.604382, -23.615919 ]
atom 1696 [ -4.310769, 6.951347, -24.094566 ]
atom 1697 [ -5.854650, 7.417278, -23.837652 ]
atom 1698 [ 9.455237, 14.350978, -35.899227 ]
atom 1699 [ 9.012266, 14.405125, -35.004330 ]
atom 1700 [ 8.907396, 14.846999, -36.572899 ]
atom 1701 [ -7.846330, 4.662709, -15.414655 ]
atom 1702 [ -6.948370, 4.527322, -15.833388 ]
atom 1703 [ -7.778746, 5.357019, -14.698159 ]
atom 1704 [ -13.829500, -2.554176, -32.491501 ]
atom 1705 [ -14.083487, -2.005107, -33.287750 ]
atom 1706 [ -13.826281, -3.522402, -32.741554 ]
atom 1707 [ -6.770626, -13.264800, -28.028446 ]
atom 1708 [ -6.519280, -12.511896, -28.636690 ]
atom 1709 [ -6.816691, -14.115358, -28.552305 ]
atom 1710 [ -5.574180, 1.085444, -23.546988 ]
atom 1711 [ -5.750079, 0.602009, -22.689463 ]
atom 1712 [ -5.299851, 0.428860, -24.249584 ]
atom 1713 [ 12.679006, -0.631699, 40.643040 ]
atom 1714 [ 12.803661, 0.260270, 41.077610 ]
atom 1715 [ 12.206618, -1.246897, 41.274216 ]
atom 1716 [ 11.317533, -7.101805, 39.907707 ]
atom 1717 [ 11.674677, -7.634870, 40.674706 ]
atom 1718 [ 11.999883, -6.428298, 39.623474 ]
atom 1719 [ 7.416147, -4.793088, -33.835972 ]
atom 1720 [ 6.775544, -4.486377, -33.132011 ]
atom 1721 [ 6.952367, -5.426250, -34.455658 ]
atom 1722 [ 8.315870, -9.403929, -7.608536 ]
atom 1723 [ 8.589642, -10.365045, -7.572403 ]
atom 1724 [ 9.059055, -8.860067, -7.998267 ]
atom 1725 [ -2.333563, -4.749669, -34.816784 ]
atom 1726 [ -2.083928, -5.042411, -33.893753 ]
atom 1727 [ -2.089882, -5.465721, -35.470917 ]
atom 1728 [ -8.875482, -4.367581, -42.197365 ]
atom 1729 [ -7.923398, -4.553667, -41.954651 ]
atom 1730 [ -9.448792, -5.134922, -41.910133 ]
atom 1731 [ -10.981864, -1.876091, -34.215820 ]
atom 1732 [ -11.892249, -2.049518, -34.591480 ]
atom 1733 [ -11.025257, -1.106679, -33.578545 ]
atom 1734 [ 2.956298, -0.196196, -28.331015 ]
atom 1735 [ 3.641638, 0.411052, -28.732958 ]
atom 1736 [ 2.041515, 0.153720, -28.532831 ]
atom 1737 [ -10.180553, 9.932899, -20.025217 ]
atom 1738 [ -9.446408, 10.602297, -20.138962 ]
atom 1739 [ -11.057556, 10.408446, -19.956499 ]
atom 1740 [ 14.544629, -9.006923, 40.952843 ]
atom 1741 [ 13.868407, -8.488655, 41.476410 ]
atom 1742 [ 14.946572, -8.417635, 40.251999 ]
atom 1743 [ -3.913075, -9.965714, -17.945023 ]
atom 1744 [ -4.765696, -9.883961, -17.428928 ]
atom 1745 [ -3.766212, -10.922306, -18.196741 ]
atom 1746 [ 4.922354, 4.408369, -25.865938 ]
atom 1747 [ 4.273010, 3.648275, -25.890640 ]
atom 1748 [ 4.925591, 4.814447, -24.952106 ]
atom 1749 [ -12.712231, -7.304574, -25.888918 ]
atom 1750 [ -12.786684, -7.221102, -24.895193 ]
atom 1751 [ -13.116392, -6.499070, -26.322298 ]
atom 1752 [ -2.109252, 2.109840, 39.743214 ]
atom 1753 [ -2.651133, 2.379889, 40.539104 ]
atom 1754 [ -2.566102, 1.357470, 39.268631 ]
atom 1755 [ 11.539562, 13.033185, -23.069044 ]
atom 1756 [ 11.116400, 13.470690, -22.275620 ]
atom 1757 [ 10.973490, 13.191080, -23.878136 ]
atom 1758 [ 10.283555, 3.827682, -38.113129 ]
atom 1759 [ 10.074314, 3.146341, -37.411709 ]
atom 1760 [ 9.892826, 3.537567, -38.986721 ]
atom 1761 [ -2.639835, 1.411968, -28.737452 ]
atom 1762 [ -2.756103, 1.130724, -29.690018 ]
atom 1763 [ -2.681050, 2.409285, -28.676945 ]
atom 1764 [ -2.974192, 11.235497, -13.048388 ]
atom 1765 [ -3.634730, 11.212058, -12.297960 ]
atom 1766 [ -2.304428, 11.958832, -12.880449 ]
atom 1767 [ 5.953313, 6.918022, 37.839199 ]
atom 1768 [ 6.201167, 6.916989, 36.870403 ]
atom 1769 [ 6.217092, 7.790839, 38.249825 ]
atom 1770 [ 0.062144, -3.350561, -22.396292 ]
atom 1771 [ 0.893117, -3.409513, -21.843113 ]
atom 1772 [ -0.168501, -2.389741, -22.550005 ]
atom 1773 [ 10.098678, 6.293455, -9.369110 ]
atom 1774 [ 9.272092, 6.797005, -9.620492 ]
atom 1775 [ 10.581740, 6.785876, -8.645112 ]
atom 1776 [ -5.107891, 7.783740, -36.465199 ]
atom 1777 [ -4.822071, 7.339046, -37.314053 ]
atom 1778 [ -5.262429, 7.090419, -35.761333 ]
atom 1779 [ -11.893589, -5.830413, -21.183979 ]
atom 1780 [ -11.323458, -5.642599, -20.384182 ]
atom 1781 [ -12.851309, -5.649065, -20.960632 ]
atom 1782 [ -8.461311, 11.174619, -40.990952 ]
atom 1783 [ -7.514596, 11.490170, -40.926468 ]
atom 1784 [ -8.866828, 11.508768, -41.841774 ]
atom 1785 [ 12.359305, 3.495279, -23.968954 ]
atom 1786 [ 13.099142, 3.400384, -24.635015 ]
atom 1787 [ 12.709368, 3.302731, -23.052231 ]
atom 1788 [ -5.926039, -13.507669, 39.202595 ]
atom 1789 [ -6.834135, -13.912728, 39.096340 ]
atom 1790 [ -6.005671, -12.511012, 39.220867 ]
atom 1791 [ 5.289052, 10.011802, -23.894613 ]
atom 1792 [ 5.984566, 9.305819, -23.761015 ]
atom 1793 [ 5.143403, 10.155226, -24.873499 ]
atom 1794 [ -2.911029, 3.028336, -22.249493 ]
atom 1795 [ -2.855338, 3.794200, -21.608908 ]
atom 1796 [ -2.832944, 2.167220, -21.747116 ]
atom 1797 [ -11.255450, -12.735036, -19.432343 ]
atom 1798 [ -12.092394, -12.271512, -19.141359 ]
atom 1799 [ -10.889960, -13.271676, -18.671793 ]
atom 1800 [ -11.446042, -6.303559, -12.240457 ]
atom 1801 [ -11.893516, -5.564157, -11.737415 ]
atom 1802 [ -12.136334, -6.946945, -12.571443 ]
atom 1803 [ 7.451687, -10.298553, 41.479568 ]
atom 1804 [ 8.318626, -10.558877, 41.904594 ]
atom 1805 [ 6.782540, -11.029724, 41.612354 ]
atom 1806 [ 11.647539, -13.595048, -36.082897 ]
atom 1807 [ 12.590694, -13.720994, -35.775333 ]
atom 1808 [ 11.156858, -14.463953, -36.017811 ]
atom 1809 [ 2.137269, 7.382958, -12.428308 ]
atom 1810 [ 2.473662, 7.790771, -13.277147 ]
atom 1811 [ 1.778154, 6.468949, -12.617054 ]
atom 1812 [ -8.850195, 8.514243, -40.512928 ]
atom 1813 [ -8.951448, 9.434898, -40.889942 ]
atom 1814 [ -8.836189, 8.562709, -39.514202 ]
atom 1815 [ 4.924980, -14.727760, -29.884001 ]
atom 1816 [ 5.669469, -14.399154, -29.302835 ]
atom 1817 [ 4.807874, -14.106511, -30.658815 ]
atom 1818 [ 11.621586, -6.988691, 35.779026 ]
atom 1819 [ 10.751728, -7.118580, 36.254921 ]
atom 1820 [ 11.548401, -6.208516, 35.157761 ]
atom 1821 [ 10.481198, -6.987959, -29.266827 ]
atom 1822 [ 10.845903, -6.096148, -29.534525 ]
atom 1823 [ 9.788674, -7.276934, -29.927814 ]
atom 1824 [ 5.821149, -11.047749, -33.815903 ]
atom 1825 [ 5.644226, -11.733846, -33.110233 ]
atom 1826 [ 6.473725, -10.373862, -33.469460 ]
atom 1827 [ -9.522521, 8.442216, -22.885185 ]
atom 1828 [ -10.390652, 8.542700, -22.399128 ]
atom 1829 [ -9.332134, 9.276061, -23.403313 ]
atom 1830 [ 2.528232, -4.140841, -21.085052 ]
atom 1831 [ 2.580776, -4.003180, -20.095968 ]
atom 1832 [ 2.919225, -5.031022, -21.318939 ]
atom 1833 [ -5.492207, 14.503275, -13.497409 ]
atom 1834 [ -6.008438, 14.594998, -14.348932 ]
atom 1835 [ -6.026474, 14.881312, -12.741336 ]
atom 1836 [ -4.637686, -5.540545, -21.959322 ]
atom 1837 [ -5.572030, -5.890613, -21.892584 ]
atom 1838 [ -4.024568, -6.123048, -21.425680 ]
atom 1839 [ -13.393667, 14.676767, -23.083103 ]
atom 1840 [ -12.491966, 15.109089, -23.088842 ]
atom 1841 [ -13.415202, 13.959903, -22.386225 ]
atom 1842 [ -10.259056, 1.410412, -29.395226 ]
atom 1843 [ -9.466659, 1.897741, -29.762129 ]
atom 1844 [ -10.691747, 1.965066, -28.684496 ]
atom 1845 [ 4.415818, 10.337753, -15.362717 ]
atom 1846 [ 4.965829, 10.755508, -14.639550 ]
atom 1847 [ 3.733232, 9.731667, -14.954385 ]
atom 1848 [ -12.880028, 6.759838, -33.002983 ]
atom 1849 [ -12.893368, 6.834577, -32.005871 ]
atom 1850 [ -13.602759, 6.135873, -33.300182 ]
atom 1851 [ 3.405301, -3.393876, -24.139174 ]
atom 1852 [ 3.711421, -2.954635, -23.294569 ]
atom 1853 [ 3.745092, -2.877751, -24.925404 ]
atom 1854 [ 3.881063, 9.119778, -40.135002 ]
atom 1855 [ 4.340363, 9.983943, -39.929420 ]
atom 1856 [ 3.636611, 8.660778, -39.280857 ]
atom 1857 [ 3.693714, 12.745823, -28.068832 ]
atom 1858 [ 4.106159, 13.431215, -28.668936 ]
atom 1859 [ 4.281975, 12.602287, -27.273001 ]
atom 1860 [ 13.478547, 10.698346, -39.662666 ]
atom 1861 [ 14.261592, 10.268720, -39.212933 ]
atom 1862 [ 13.803887, 11.343625, -40.353874 ]
atom 1863 [ -4.858527, -11.131103, -42.289673 ]
atom 1864 [ -4.644524, -11.052318, -43.263325 ]
atom 1865 [ -4.023142, -11.008722, -41.753803 ]
atom 1866 [ 5.706524, 10.220381, -18.132544 ]
atom 1867 [ 4.977709, 10.720568, -18.600134 ]
atom 1868 [ 5.368582, 9.321096, -17.854908 ]
atom 1869 [ -7.347885, -10.685731, 41.135487 ]
atom 1870 [ -7.062210, -11.643641, 41.163754 ]
atom 1871 [ -6.600394, -10.105297, 41.458527 ]
atom 1872 [ -5.985787, 3.156585, 41.666901 ]
atom 1873 [ -6.287041, 3.604662, 42.508606 ]
atom 1874 [ -6.103296, 2.167462, 41.755375 ]
atom 1875 [ -7.779157, -2.543130, -27.973450 ]
atom 1876 [ -7.585690, -3.484209, -28.250834 ]
atom 1877 [ -8.356386, -2.104565, -28.662266 ]
atom 1878 [ -3.771235, -8.025695, -12.526086 ]
atom 1879 [ -4.240759, -8.392193, -11.722826 ]
atom 1880 [ -4.242242, -8.328599, -13.354579 ]
atom 1881 [ 4.373637, 5.143292, -13.741750 ]
atom 1882 [ 3.556372, 4.577691, -13.631416 ]
atom 1883 [ 4.726341, 5.041541, -14.671935 ]
atom 1884 [ 9.532669, 5.540026, -26.943029 ]
atom 1885 [ 9.847688, 5.584216, -25.994972 ]
atom 1886 [ 8.684703, 5.011908, -26.988247 ]
atom 1887 [ -7.493947, 14.258354, -29.137255 ]
atom 1888 [ -8.367438, 14.462116, -28.695107 ]
atom 1889 [ -7.657944, 13.738161, -29.975409 ]
atom 1890 [ -7.322761, 0.499582, -30.778431 ]
atom 1891 [ -7.031377, 0.262868, -31.705286 ]
atom 1892 [ -7.415898, 1.492266, -30.701599 ]
atom 1893 [ -11.201011, 0.726058, -37.072811 ]
atom 1894 [ -10.984996, 0.964914, -36.126087 ]
atom 1895 [ -11.272039, -0.267776, -37.157951 ]
atom 1896 [ 13.290668, -13.523755, -22.557663 ]
atom 1897 [ 13.707655, -14.178572, -23.188011 ]
atom 1898 [ 12.781844, -14.017546, -21.852491 ]
atom 1899 [ -2.393508, -11.581843, -28.106684 ]
atom 1900 [ -3.167704, -11.157196, -27.637329 ]
atom 1901 [ -2.715799, -12.362383, -28.642303 ]
atom 1902 [ -9.704017, -1.373210, -29.926468 ]
atom 1903 [ -9.733680, -0.502853, -29.434942 ]
atom 1904 [ -10.599486, -1.558027, -30.331408 ]
atom 1905 [ 12.857254, 5.640558, -36.999264 ]
atom 1906 [ 13.827899, 5.870111, -37.071068 ]
atom 1907 [ 12.487335, 5.467134, -37.911999 ]
atom 1908 [ 1.853656, 8.067532, -18.028046 ]
atom 1909 [ 2.693974, 7.998702, -17.490339 ]
atom 1910 [ 1.078297, 7.761990, -17.475357 ]
atom 1911 [ 6.366005, -4.793714, -29.680326 ]
atom 1912 [ 6.212076, -4.077728, -28.999393 ]
atom 1913 [ 7.315508, -4.758613, -29.992117 ]
atom 1914 [ -7.407666, -13.358097, -31.901686 ]
atom 1915 [ -7.286138, -12.496697, -32.394859 ]
atom 1916 [ -8.028023, -13.215935, -31.130358 ]
atom 1917 [ -3.208301, -0.310950, 42.391987 ]
atom 1918 [ -2.922376, -0.885625, 41.625179 ]
atom 1919 [ -2.429773, -0.154603, 42.999809 ]
atom 1920 [ -8.960421, 9.455532, 41.458508 ]
atom 1921 [ -8.842534, 8.497465, 41.197334 ]
atom 1922 [ -9.827057, 9.796193, 41.093964 ]
atom 1923 [ 6.654622, -13.802290, -20.476889 ]
atom 1924 [ 6.571628, -12.809206, -20.559938 ]
atom 1925 [ 7.028621, -14.177613, -21.324980 ]
atom 1926 [ 2.817772, 10.411703, -27.432909 ]
atom 1927 [ 1.964092, 10.064140, -27.820765 ]
atom 1928 [ 2.943211, 11.365871, -27.704622 ]
atom 1929 [ 14.325342, -14.265934, -11.313060 ]
atom 1930 [ 13.479744, -14.265999, -11.846879 ]
atom 1931 [ 14.626530, -15.208031, -11.165613 ]
atom 1932 [ -6.427239, 9.462976, 39.095367 ]
atom 1933 [ -5.561104, 9.211151, 38.663635 ]
atom 1934 [ -6.882343, 8.639703, 39.434635 ]
atom 1935 [ -9.198997, 8.484843, -29.572380 ]
atom 1936 [ -9.186089, 7.641533, -30.109653 ]
atom 1937 [ -9.957484, 8.453781, -28.921432 ]
atom 1938 [ -2.363124, 9.198175, -19.601896 ]
atom 1939 [ -2.484873, 9.184982, -20.594368 ]
atom 1940 [ -2.667826, 10.079342, -19.240370 ]
atom 1941 [ -14.021996, -14.027390, -28.138872 ]
atom 1942 [ -13.589693, -14.800604, -27.674917 ]
atom 1943 [ -15.015017, -14.092461, -28.040503 ]
atom 1944 [ 1.052021, -12.808569, 40.663227 ]
atom 1945 [ 1.306233, -13.599013, 40.105938 ]
atom 1946 [ 1.334889, -11.968955, 40.199509 ]
atom 1947 [ 9.919719, -13.484327, -42.075523 ]
atom 1948 [ 9.892326, -13.848113, -43.006603 ]
atom 1949 [ 9.477242, -14.129336, -41.452484 ]
atom 1950 [ -12.312097, 8.985893, -21.937613 ]
atom 1951 [ -11.742495, 9.771384, -22.179598 ]
atom 1952 [ -13.035332, 9.278676, -21.312143 ]
atom 1953 [ 13.283130, 6.398808, -12.775311 ]
atom 1954 [ 13.379746, 5.412590, -12.641002 ]
atom 1955 [ 12.385859, 6.693647, -12.446714 ]
atom 1956 [ 4.552516, -13.192745, -8.155336 ]
atom 1957 [ 4.566975, -12.422584, -8.793021 ]
atom 1958 [ 3.688242, -13.686953, -8.249086 ]
atom 1959 [ -9.562780, 9.180734, -34.675442 ]
atom 1960 [ -10.512510, 8.915945, -34.842472 ]
atom 1961 [ -9.541365, 10.029325, -34.146824 ]
atom 1962 [ 6.344508, 4.567261, -38.788738 ]
atom 1963 [ 6.660225, 5.500700, -38.618401 ]
atom 1964 [ 7.011477, 4.088800, -39.359901 ]
atom 1965 [ -3.079718, -10.638384, -22.368269 ]
atom 1966 [ -3.034965, -10.950178, -23.317364 ]
atom 1967 [ -2.158974, -10.623998, -21.978367 ]
atom 1968 [ 11.425272, -12.960721, -32.955208 ]
atom 1969 [ 12.058552, -13.713332, -32.774837 ]
atom 1970 [ 11.381012, -12.791005, -33.939705 ]
atom 1971 [ -4.829037, -12.625423, -18.471676 ]
atom 1972 [ -5.064096, -12.839945, -19.419689 ]
atom 1973 [ -5.082228, -13.393489, -17.883484 ]
atom 1974 [ 3.230869, -0.452086, -31.691587 ]
atom 1975 [ 3.390113, -0.769190, -30.756662 ]
atom 1976 [ 2.999223, 0.520629, -31.678743 ]
atom 1977 [ 4.797808, 1.965148, -29.493338 ]
atom 1978 [ 4.201440, 2.005561, -30.295033 ]
atom 1979 [ 5.745731, 1.845989, -29.788706 ]
atom 1980 [ 10.112024, -10.061620, -20.290462 ]
atom 1981 [ 10.804695, -10.381331, -20.936987 ]
atom 1982 [ 10.538157, -9.893209, -19.401617 ]
atom 1983 [ 6.677886, 12.588098, -32.146111 ]
atom 1984 [ 6.799108, 12.343503, -31.184092 ]
atom 1985 [ 6.969756, 11.825423, -32.723293 ]
atom 1986 [ -9.377384, -10.769425, -11.329773 ]
atom 1987 [ -9.199373, -10.489853, -10.386294 ]
atom 1988 [ -8.594668, -11.285352, -11.677875 ]
atom 1989 [ -10.168365, -10.294766, -20.715633 ]
atom 1990 [ -10.441041, -11.080319, -20.160156 ]
atom 1991 [ -9.920272, -9.533195, -20.116920 ]
atom 1992 [ -2.027550, 5.496903, 40.541306 ]
atom 1993 [ -2.362288, 5.863122, 39.673069 ]
atom 1994 [ -2.726106, 5.619541, 41.246273 ]
atom 1995 [ 1.797945, 5.135548, -37.737885 ]
atom 1996 [ 1.129322, 4.915660, -38.448231 ]
atom 1997 [ 2.668477, 4.691821, -37.950676 ]
atom 1998 [ -14.248348, 12.482380, -11.070362 ]
atom 1999 [ -14.941189, 12.685843, -10.378572 ]
atom 2000 [ -13.400703, 12.962450, -10.844463 ]
atom 2001 [ -4.952204, -14.415218, -35.545773 ]
atom 2002 [ -4.585528, -14.136171, -36.433289 ]
atom 2003 [ -4.252029, -14.292696, -34.842392 ]
atom 2004 [ 3.927846, 5.526288, -28.190035 ]
atom 2005 [ 4.495333, 5.282790, -27.403481 ]
atom 2006 [ 4.418341, 5.310804, -29.034416 ]
atom 2007 [ 3.390190, 8.625284, -20.732136 ]
atom 2008 [ 2.948731, 9.060925, -21.516567 ]
