dcdplugin) detected standard 32-bit DCD file of native endianness
dcdplugin) CHARMM format DCD file (also NAMD 2.1 and later)
main) file: namdOut.dcd
  4257 atoms, 20 frames, size:    1.0MB
atom 194 [ 2.880210, 11.784383, 20.597631 ]
atom 195 [ 4.005989, 13.932220, 24.861752 ]
atom 196 [ -7.848442, -13.355420, 26.589676 ]
atom 197 [ -8.563870, -10.657670, 24.157894 ]
atom 198 [ -9.974104, -9.005523, 26.732632 ]
atom 199 [ -12.569735, -8.019812, 30.237146 ]
atom 200 [ -13.658272, -4.098873, 27.047966 ]
atom 201 [ -13.949368, -1.133615, 29.644810 ]
atom 202 [ 14.089926, 0.493257, 20.758133 ]
atom 203 [ 11.500570, 2.892771, 20.997259 ]
atom 204 [ 11.356644, 2.778287, 31.791193 ]
atom 205 [ 10.054506, 4.884122, 26.925081 ]
atom 206 [ 9.132071, 7.715226, 22.188215 ]
atom 207 [ 6.530823, 11.351743, 33.311287 ]
atom 208 [ 6.582028, 11.891459, 25.445211 ]
atom 209 [ 5.167282, 14.291841, 20.951580 ]
atom 210 [ -5.388968, -13.686129, 24.245687 ]
atom 211 [ -6.141024, -11.173934, 21.968084 ]
atom 212 [ -7.442031, -8.405993, 20.099007 ]
atom 213 [ -8.806543, -7.639455, 23.288647 ]
atom 214 [ -10.074013, -5.983589, 31.509365 ]
atom 215 [ -11.577568, -3.772561, 29.625977 ]
atom 216 [ -12.119491, -0.753008, 19.359682 ]
atom 217 [ -13.253594, 0.501854, 23.927946 ]
atom 218 [ 14.717596, 1.917225, 30.677902 ]
atom 219 [ 12.514942, 4.150399, 29.170053 ]
atom 220 [ 12.111745, 7.333098, 29.228197 ]
atom 221 [ 10.590731, 10.066198, 28.833780 ]
atom 222 [ 9.100370, 11.889060, 31.355127 ]
atom 223 [ 6.728280, -14.451148, 24.135664 ]
atom 224 [ -3.772404, -12.199100, 28.008268 ]
atom 225 [ -5.812560, -10.765812, 25.783144 ]
atom 226 [ -4.084268, -9.111116, 20.081623 ]
atom 227 [ -7.048974, -7.684493, 26.574169 ]
atom 228 [ -8.367805, -5.206700, 28.551540 ]
atom 229 [ -9.415799, -2.315916, 27.588791 ]
atom 230 [ -10.786770, -0.858595, 31.022596 ]
atom 231 [ -10.125741, 0.493267, 26.217287 ]
atom 232 [ -12.158904, 1.855456, 28.405195 ]
atom 233 [ -14.013737, 4.854149, 28.034014 ]
atom 234 [ -14.437576, 7.818416, 29.923553 ]
atom 235 [ 12.616450, 9.961114, 26.330297 ]
atom 236 [ 11.872357, 12.846137, 25.222322 ]
atom 237 [ 9.111024, 12.731360, 27.695663 ]
atom 238 [ -0.690202, -12.900872, 28.156521 ]
atom 239 [ -1.724581, -11.183153, 31.085278 ]
atom 240 [ -2.618155, -10.252230, 25.466711 ]
atom 241 [ -5.212486, -8.076434, 23.622002 ]
atom 242 [ -5.142290, -5.744980, 29.303707 ]
atom 243 [ -7.836935, -3.266395, 31.319668 ]
atom 244 [ -7.587118, -0.260953, 29.966133 ]
atom 245 [ -9.571994, 2.442805, 30.437006 ]
atom 246 [ -11.092318, 2.039492, 34.216492 ]
atom 247 [ -12.242686, 4.176944, 31.033316 ]
atom 248 [ -11.594666, 7.003730, 28.696424 ]
atom 249 [ -13.868674, 8.506879, 26.478762 ]
atom 250 [ 14.344609, 11.065773, 23.641504 ]
atom 251 [ 12.480834, 13.500313, 21.755245 ]
atom 252 [ 1.398921, -14.442318, 26.244144 ]
atom 253 [ 2.275438, -11.241436, 26.836025 ]
atom 254 [ -0.495812, -9.444535, 27.787024 ]
atom 255 [ -2.845285, -6.840840, 26.737123 ]
atom 256 [ -1.891904, -5.007306, 30.556841 ]
atom 257 [ -6.201426, -2.712867, 28.226204 ]
atom 258 [ -5.630023, -0.789668, 32.855892 ]
atom 259 [ -6.198431, 2.656994, 30.884203 ]
atom 260 [ -7.877276, 4.310302, 21.969275 ]
atom 261 [ -10.080666, 4.373819, 27.729713 ]
atom 262 [ -10.002351, 7.154109, 31.437460 ]
atom 263 [ -12.028595, 9.925148, 30.484421 ]
atom 264 [ -12.815482, 11.772724, 26.029289 ]
atom 265 [ -13.493954, 13.877727, 23.176634 ]
atom 266 [ 3.193296, -12.860099, 23.577513 ]
atom 267 [ 3.155148, -11.339222, 19.978907 ]
atom 268 [ 1.335681, -8.291596, 30.220526 ]
atom 269 [ -0.526975, -6.268520, 24.468596 ]
atom 270 [ -2.479739, -6.184525, 20.378942 ]
atom 271 [ -1.491216, -2.802582, 21.600069 ]
atom 272 [ -3.682707, -0.262012, 21.519253 ]
atom 273 [ -3.300429, 1.872376, 24.863377 ]
atom 274 [ -4.868777, 2.824617, 21.825678 ]
atom 275 [ -6.899317, 4.727820, 25.420818 ]
atom 276 [ -8.308804, 7.195201, 27.248165 ]
atom 277 [ -8.971590, 9.609200, 29.651873 ]
atom 278 [ -9.805612, 12.349793, 27.731201 ]
atom 279 [ -11.130111, 14.582444, 25.546700 ]
atom 280 [ 6.528062, -12.585200, 30.143286 ]
atom 281 [ 5.761342, -12.007231, 26.524057 ]
atom 282 [ 4.261269, -10.216436, 29.476889 ]
atom 283 [ 3.556019, -6.955554, 22.786327 ]
atom 284 [ 0.790165, -5.323226, 21.485569 ]
atom 285 [ -0.958703, -3.139062, 25.020367 ]
atom 286 [ -0.463246, 0.158952, 23.810770 ]
atom 287 [ -1.430893, 2.769559, 21.829023 ]
atom 288 [ -1.970194, 4.622812, 26.293699 ]
atom 289 [ -4.637798, 6.467034, 27.601488 ]
atom 290 [ -4.867880, 7.393172, 31.112650 ]
atom 291 [ -5.900140, 9.225554, 28.490536 ]
atom 292 [ -6.927426, 12.058513, 29.469624 ]
atom 293 [ -10.348143, 14.099350, 32.207371 ]
atom 294 [ 8.436423, -11.696918, 23.508551 ]
atom 295 [ 9.446780, -11.532380, 28.759083 ]
atom 296 [ 7.081453, -9.349596, 28.161455 ]
atom 297 [ 5.982746, -5.865764, 24.754654 ]
atom 298 [ 3.793166, -5.823082, 19.435036 ]
atom 299 [ 2.575791, -3.022274, 28.903814 ]
atom 300 [ 2.530547, 0.371069, 29.804653 ]
atom 301 [ 0.672976, 0.488500, 20.173077 ]
atom 302 [ 0.785084, 3.374809, 24.692438 ]
atom 303 [ -0.652766, 5.962661, 22.899256 ]
atom 304 [ -3.131094, 8.484009, 22.113220 ]
atom 305 [ -4.817685, 10.891204, 20.122496 ]
atom 306 [ -5.411772, 11.279180, 23.804667 ]
atom 307 [ -7.692918, 14.774857, 30.777292 ]
atom 308 [ 11.732629, -12.858511, 30.474083 ]
atom 309 [ 10.901740, -11.871177, 25.671188 ]
atom 310 [ 9.438602, -8.674290, 30.393528 ]
atom 311 [ 8.073646, -6.134410, 27.742012 ]
atom 312 [ 6.744532, -4.901992, 21.180334 ]
atom 313 [ 5.223430, -1.676064, 25.196209 ]
atom 314 [ 4.761861, -0.358542, 20.864086 ]
atom 315 [ 3.183202, 0.776294, 23.842855 ]
atom 316 [ 2.389355, 3.235955, 20.947372 ]
atom 317 [ 0.192164, 6.603910, 27.525639 ]
atom 318 [ 0.253252, 7.758649, 30.572010 ]
atom 319 [ -2.297480, 11.813838, 23.130188 ]
atom 320 [ -3.369389, 10.669593, 26.922668 ]
atom 321 [ -5.477870, 14.746943, 28.274813 ]
atom 322 [ 14.354528, -14.749624, 30.548708 ]
atom 323 [ 13.559211, -12.264343, 27.589922 ]
atom 324 [ 12.468615, -9.554148, 29.683371 ]
atom 325 [ 10.227741, -8.768662, 27.020815 ]
atom 326 [ 9.409995, -6.169185, 24.460196 ]
atom 327 [ 8.124630, -3.385233, 25.539145 ]
atom 328 [ 7.482793, -1.675195, 22.546188 ]
atom 329 [ 6.824790, 1.121541, 24.349806 ]
atom 330 [ 4.646813, 3.560081, 24.911793 ]
atom 331 [ 2.734631, 5.707116, 23.255018 ]
atom 332 [ 3.899944, 7.528207, 29.458841 ]
atom 333 [ 2.507868, 10.381609, 30.159517 ]
atom 334 [ -0.722819, 12.633327, 26.127493 ]
atom 335 [ -2.513280, 13.737607, 28.872622 ]
atom 336 [ -13.613204, 14.268950, 4.299007 ]
atom 337 [ 14.500916, -11.335605, 5.347966 ]
atom 338 [ 12.814417, -9.609423, 2.882950 ]
atom 339 [ 11.399806, -8.032102, 0.124583 ]
atom 340 [ 9.442868, -6.433168, 6.467474 ]
atom 341 [ 10.298605, -3.718078, 3.694519 ]
atom 342 [ 7.448532, -1.574808, -2.707456 ]
atom 343 [ 7.998911, 1.745298, -4.149902 ]
atom 344 [ 5.711895, 3.323805, -2.129564 ]
atom 345 [ 4.362338, 5.486786, 2.668856 ]
atom 346 [ 3.437172, 5.860163, -0.673154 ]
atom 347 [ 2.848452, 8.368943, -3.268590 ]
atom 348 [ 0.227605, 12.918534, 5.882590 ]
atom 349 [ 0.250808, 13.267057, 1.765949 ]
atom 350 [ -11.759960, -12.901412, 4.868864 ]
atom 351 [ -13.999008, -12.778408, 2.181750 ]
atom 352 [ -13.486316, -9.498084, 1.991261 ]
atom 353 [ 14.127563, -6.768758, 1.749668 ]
atom 354 [ 12.961053, -6.937675, -2.653472 ]
atom 355 [ 11.619418, -3.970487, 7.258139 ]
atom 356 [ 9.000612, -2.474688, 0.433313 ]
atom 357 [ 9.658716, 0.501804, -1.294128 ]
atom 358 [ 7.681813, 2.327526, 0.734971 ]
atom 359 [ 6.597209, 5.393628, 0.282161 ]
atom 360 [ 5.330337, 6.770395, 5.912962 ]
atom 361 [ 4.497298, 10.075701, 6.216263 ]
atom 362 [ 2.191803, 11.303285, 3.448381 ]
atom 363 [ 4.189451, 13.400282, 0.401115 ]
atom 364 [ -8.907679, -14.693623, 6.562847 ]
atom 365 [ -10.889132, -13.324743, 0.798744 ]
atom 366 [ -10.583419, -10.372046, 3.040889 ]
atom 367 [ -12.656859, -8.799855, 5.385948 ]
atom 368 [ -13.913116, -5.681890, 6.089005 ]
atom 369 [ 13.492339, -3.501844, 2.648728 ]
atom 370 [ 12.768492, -1.142299, 5.885955 ]
atom 371 [ 12.959738, 0.865157, -2.679675 ]
atom 372 [ 10.901598, 1.024494, -5.326149 ]
atom 373 [ 9.461109, 4.755323, 1.895210 ]
atom 374 [ 7.847818, 9.002255, 6.435038 ]
atom 375 [ 6.212052, 8.155763, 2.548575 ]
atom 376 [ 5.394911, 11.592458, 3.216644 ]
atom 377 [ 3.732465, 13.345160, 5.773671 ]
atom 378 [ -5.560311, -12.778455, 5.310790 ]
atom 379 [ -8.500183, -12.909237, 3.555398 ]
